unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone.1,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS142,Robin Thicke TI & Pharrel Williams ,Blurred Lines ,41334,5,2,-5,3,11,1,10,80000,200000,3,1300000000,5,120,6,5,2013,1,18,1,9,1
TPS143,Jennifer Lopez & Ja Rule ,Ain't it Funny ,37073,4,3,-3,2,8,1,10,150000,300000,3,200000000,15,89,4,7,2001,1,18,0,7,1
TPS144,Justin Bieber ,Love Yourself ,42309,6,8,-10,2,13,2,73,800000,1000000,3,700000000,50,100,3,4,2015,2,15,0,8,1
TPS145,Drake WizKid & Kyla ,One Dance ,42461,8,2,-6,2,14,1,70,400000,400000,3,1600000000,15,104,6,4,2016,3,15,1,9,1
TPS146,The Black Eyed Peas,My Humps ,38565,5,1,-6,1,10,1,30,300000,600000,3,700000000,40,124,7,6,2005,3,15,0,7,0
TPS147,Adele ,Someone Like You ,40544,3,9,-8,2,14,2,64,600000,1000000,4,1700000000,50,135,3,3,2011,2,15,1,8,1
TPS148,Eminem ,Without Me ,37377,7,5,-3,5,12,1,66,500000,800000,3,1000000000,60,112,6,7,2002,3,18,0,8,1
TPS149,Gwen Stefani,Hollaback Girl ,38443,6,3,-2,2,9,1,8,100000,300000,4,600000000,20,110,7,7,2005,2,15,0,9,1
TPS150,Post Malone & 21 Savage ,Rockstar ,42979,4,3,-7,3,12,1,59,600000,400000,4,1600000000,20,160,6,7,2017,2,15,1,10,1
TPS151,Nelly Furtado ,Say It Right ,39022,6,5,-6,1,11,1,12,100000,200000,3,200000000,10,117,4,6,2006,2,15,0,7,0
TPS152,One Repubic ,Counting Stars ,41395,8,7,-5,3,13,3,50,200000,500000,4,1700000000,30,122,6,5,2013,5,15,0,8,1
TPS153,Kelly Clarkson,Breakaway ,38200,6,8,-4,2,9,2,17,200000,300000,3,300000000,30,160,7,6,2004,13,15,0,7,1
TPS154,Hoobastank,The Reason ,38047,9,7,-6,3,9,2,5,50000,100000,4,200000000,5,83,4,3,2004,2,15,0,7,1
TPS155,Major Lazer & DJ Snake ,Lean On,42064,7,6,-3,1,14,1,37,200000,400000,3,1500000000,10,98,5,6,2015,5,15,0,9,0
TPS156,Natasha Bedingfield ,Unwritten ,38322,6,6,-6,4,8,2,7,40000,100000,4,200000000,5,100,8,7,2004,2,15,0,8,0
TPS157,Lifehouse ,You & Me ,38384,5,4,-8,3,7,1,5,70000,100000,4,200000000,10,140,6,3,2005,1,15,0,6,1
TPS158,Dido,Thank You ,36892,6,8,-10,3,8,3,7,60000,100000,3,300000000,5,80,7,3,2001,6,15,0,7,0
TPS159,Sisqo,Thong Song ,36526,4,1,-7,2,7,1,2,40000,100000,3,200000000,5,122,5,7,2000,2,18,0,7,1
TPS160,Hozier ,Take Me To Church,41821,8,9,-5,2,13,3,32,100000,200000,4,600000000,15,129,3,4,2014,3,15,0,8,1
TPS161,Plain White T's,Hey There Delilah,39173,5,4,-11,2,9,2,10,50000,100000,4,300000000,5,104,6,4,2007,5,15,0,8,1
TPS162,Flo-Rida & T-Pain,Low,39387,6,1,-6,1,11,1,18,150000,300000,4,400000000,15,128,5,7,2007,2,15,0,10,0
TPS163,Matchbox Twenty,If You're Gone,36800,9,6,-7,1,8,2,12,150000,200000,3,200000000,10,110,3,4,2000,2,15,1,7,0
TPS164,Kelly Clarkson,Because of You,38596,5,7,-5,4,10,2,17,200000,300000,3,200000000,30,140,2,4,2005,7,15,0,8,1
TPS165,Shawn Mendez & Camila Cabello,Senorita,43617,9,3,-6,2,12,1,43,400000,600000,3,1200000000,15,117,4,6,2019,3,15,0,7,1
TPS166,LeAnn Rimes,Can't Fight The Moonlight,36770,6,5,-6,4,9,2,3,30000,100000,3,100000000,5,98,6,3,2000,1,15,0,6,0
TPS167,The Black Eyed Peas,Where is the Love?,37773,7,6,-3,5,13,2,30,300000,600000,4,500000000,40,94,2,2,2003,2,15,0,7,0
TPS168,Desitny's Child,Jumpin' Jumpin',36647,8,2,-5,3,8,1,11,100000,200000,3,300000000,10,89,6,6,2000,2,15,0,6,0
TPS169,Gwen Stefani & Akon,The Sweet Escape,39052,4,4,-4,3,10,1,8,100000,200000,3,500000000,5,120,4,4,2006,10,15,0,7,1
